id;period_from;period_to;data_entry_file;data_entry_file_content_type;upload_successful;upload_processed;entries_count;file_token
1;2019-07-30T05:37:46;2019-07-29T19:30:06;436f6d70757465722050726163746963616c2046726573682050616e7473;image/png;true;false;70807;Movies Producer
2;2019-07-29T18:38:24;2019-07-29T16:05:36;536f6170206d6574686f646f6c6f677920416c62616e6961;image/png;false;false;29122;Investment Account Steel
3;2019-07-30T07:36:25;2019-07-29T15:14:55;677265792043616d6272696467657368697265;image/png;true;false;4645;Credit Card Account Table Small Frozen Sausages
4;2019-07-29T15:26:37;2019-07-30T01:05:59;696e666f6d6564696172696573;image/png;false;true;49517;Games Regional Digitized
5;2019-07-29T22:43:05;2019-07-29T20:29:24;4d61796f747465;image/png;false;false;96958;connect Markets Chief
6;2019-07-30T00:16:08;2019-07-29T21:09:51;736f667477617265207363616c6520696e746572616374697665;image/png;true;true;35675;mission-critical Faroe Islands Plastic
7;2019-07-29T19:21:57;2019-07-30T10:39:07;696e646578206f72616e6765;image/png;false;false;81546;monitor
8;2019-07-29T21:07:21;2019-07-29T19:39:16;494220496e766573746d656e74204163636f756e742061726368697665;image/png;false;false;31098;moratorium pixel withdrawal
9;2019-07-29T17:19:32;2019-07-30T01:08:55;73796e74686573697a6520496461686f20636f6d7072657373;image/png;false;false;52273;partnerships Grocery Intelligent
10;2019-07-30T13:51:51;2019-07-29T17:07:13;436f72706f72617465205068617365642072656c6174696f6e7368697073;image/png;true;false;22879;Generic neutral Salad
