id;narration;data_entry_file;data_entry_file_content_type;upload_successful;upload_processed;entries_count;file_token;reason_for_update
1;mobile Fish;5472616365;image/png;false;true;14286;deposit Tasty Metal Bacon Implementation;Chips
2;Money Market Account;4e616d69626961;image/png;false;false;4666;Coordinator;Common
3;Savings Account syndicate Planner;4175746f6d6f74697665;image/png;true;true;56328;envisioneer Music Public-key;infomediaries
4;Investment Account;636f707920636f6e76657267656e6365;image/png;false;true;56770;Industrial;connect Markets Chief
5;capacitor archive;636f6d707265737320536f7574682047656f7267696120616e642074686520536f7574682053616e64776963682049736c616e6473;image/png;true;false;96525;Home Loan Account;Plastic
6;Car Industrial deliverables;6d6167656e7461206d6f6e69746f72203130383070;image/png;true;false;92630;deposit Internal;Investment Account archive Fantastic Plastic Chicken
7;payment;656d627261636520446576656c6f706572;image/png;true;true;72172;Robust Networked;Poland
8;Small partnerships;486172626f72204d6f6e74616e61;image/png;true;true;13933;Investment Account;override User-centric
9;Money Market Account;526566696e65642053717561726573;image/png;false;false;41650;EXE projection Fresh;support Gorgeous
10;withdrawal;6162696c697479204861742049726171;image/png;false;false;69243;encompassing;Directives
