id;period_from;period_to;data_entry_file;data_entry_file_content_type;upload_successful;upload_processed;entries_count;file_token
1;2019-07-30T05:38:13;2019-07-29T19:30:32;436f6d70757465722050726163746963616c2046726573682050616e7473;image/png;true;false;70807;Movies Producer
2;2019-07-29T18:38:51;2019-07-29T16:06:03;536f6170206d6574686f646f6c6f677920416c62616e6961;image/png;false;false;29122;Investment Account Steel
3;2019-07-30T07:36:52;2019-07-29T15:15:21;677265792043616d6272696467657368697265;image/png;true;false;4645;Credit Card Account Table Small Frozen Sausages
4;2019-07-29T15:27:03;2019-07-30T01:06:25;696e666f6d6564696172696573;image/png;false;true;49517;Games Regional Digitized
5;2019-07-29T22:43:32;2019-07-29T20:29:50;4d61796f747465;image/png;false;false;96958;connect Markets Chief
6;2019-07-30T00:16:35;2019-07-29T21:10:17;736f667477617265207363616c6520696e746572616374697665;image/png;true;true;35675;mission-critical Faroe Islands Plastic
7;2019-07-29T19:22:24;2019-07-30T10:39:34;696e646578206f72616e6765;image/png;false;false;81546;monitor
8;2019-07-29T21:07:47;2019-07-29T19:39:42;494220496e766573746d656e74204163636f756e742061726368697665;image/png;false;false;31098;moratorium pixel withdrawal
9;2019-07-29T17:19:59;2019-07-30T01:09:22;73796e74686573697a6520496461686f20636f6d7072657373;image/png;false;false;52273;partnerships Grocery Intelligent
10;2019-07-30T13:52:17;2019-07-29T17:07:40;436f72706f72617465205068617365642072656c6174696f6e7368697073;image/png;true;false;22879;Generic neutral Salad
