id;period_from;period_to;data_entry_file;data_entry_file_content_type;upload_processed;upload_successful;entries_count;file_token
1;2019-08-08T05:08:18;2019-08-07T19:00:38;436f6d70757465722050726163746963616c2046726573682050616e7473;image/png;true;false;70807;Movies Producer
2;2019-08-07T18:08:56;2019-08-07T15:36:08;536f6170206d6574686f646f6c6f677920416c62616e6961;image/png;false;false;29122;Investment Account Steel
3;2019-08-08T07:06:57;2019-08-07T14:45:27;677265792043616d6272696467657368697265;image/png;true;false;4645;Credit Card Account Table Small Frozen Sausages
4;2019-08-07T14:57:08;2019-08-08T00:36:31;696e666f6d6564696172696573;image/png;false;true;49517;Games Regional Digitized
5;2019-08-07T22:13:37;2019-08-07T19:59:56;4d61796f747465;image/png;false;false;96958;connect Markets Chief
6;2019-08-07T23:46:40;2019-08-07T20:40:22;736f667477617265207363616c6520696e746572616374697665;image/png;true;true;35675;mission-critical Faroe Islands Plastic
7;2019-08-07T18:52:29;2019-08-08T10:09:39;696e646578206f72616e6765;image/png;false;false;81546;monitor
8;2019-08-07T20:37:53;2019-08-07T19:09:48;494220496e766573746d656e74204163636f756e742061726368697665;image/png;false;false;31098;moratorium pixel withdrawal
9;2019-08-07T16:50:04;2019-08-08T00:39:27;73796e74686573697a6520496461686f20636f6d7072657373;image/png;false;false;52273;partnerships Grocery Intelligent
10;2019-08-08T13:22:23;2019-08-07T16:37:45;436f72706f72617465205068617365642072656c6174696f6e7368697073;image/png;true;false;22879;Generic neutral Salad
